50,12 febbraio 2020,Stefano R,"Ci sono entrato casualmente passando di lì ed ora é una deviazione obbligata! Fa delle pizze squisite a prezzi irrisori,anche su ordinazione. Sicuramente tra le migliori 3 che ho mai mangiato in vita mia!!"
50,14 novembre 2019,11valentina03,Vale la pena attendere per mangiare le buonissime pizze di Giustina!! Anche i prezzi sono a portata di tutti.. consigliato per un pranzo veloce!
50,6 novembre 2019,Miriam G,Chi non le conosce? Le pizzette di Giustina fanno un po' la storia di Centocelle. Sono buonissime. Il negozio è sempre pieno e le pizzette sono sfornate in continuazione.
50,19 ottobre 2019,Norgalis,"È da una vita che vado da Giustina, la pizza è buonissima, le titolari sono gentilissime e bravissime a prezzo veramente ridicolo per quello che mangi. Non potete visitare Roma senza mangiare questa meraviglia. Anzi prendete il treno e provatela ne vale la pena !!!!!"
50,19 ottobre 2019,Carlottina00,"È da una vita che vado da Giustina, e la reputo la pizzeria migliore di sempre. I prezzi sono veramente ridicoli per quello che mangi, e le titolari sono gentili e brave. Consiglio a tutti!!!!!"
40,15 febbraio 2020,gius958,"scelto su tripadvisor, pensavo fosse un ristorante/trattoria, invece si tratta di un posto dove cucinano pasta espresso, di molti tipi e con moltissimi condimenti e qualche altro antipasto e alcuni dolci. ho cominciato con un supplì alla 'nduja che è stato il miglior supplì mangiato negli ultimi anni, come consistenza, profumo e sapore. poi ho preso paccheri alla ""zozzona"" con salsiccia, pomodoro, pecorino e peperoncino, davvero ottimi. servizio molto cortese. prezzi ottimi soprattutto vista la qualità. purtroppo solo una quindicina di posti a sedere, ma non si può avere tutto dalla vita."
40,6 ottobre 2019,Piccolapeste73,"Capitata per caso a pranzo in questo piccolo locale, consigliato da amici di zona. Per me che sono amante della pasta, ma solo se fatta con ingredienti genuini e di qualità, posso dire che questa è davvero una formula vincente: si sceglie il tipo di pasta, tutta fatta a mano, e poi il tipo di condimento tra diverse scelte e il gioco è fatto. Un pasto completo e sano!! Ottimi anche i dolci da forno, anche questi di qualità. Peccato solo per il poco spazio per poter mangiare dato che non è un ristorante, ma vale la pena provarlo!"
40,2 ottobre 2019,Z9711MYaliceg,"Vengo spesso con i colleghi per la pausa pranzo. Ottima la scelta dei primi di pasta fresca (non servono secondi piatti). Il tiramisù espresso è spettacolare. Il servizio è rapido, il prezzo adeguato ed il personale gentile. Unica pecca è che è piccolo e ci sono pochi posti a sedere, quindi lo scegliamo quando non siamo in tanti e sempre telefonando prima (e devo dire che riescono sempre a sistemarci). Assolutamente consigliato."
50,31 luglio 2019,malkut,"È raro trovare un posticino così squisito sia nel gusto dei primi piatti e non solo, che nel personale di servizio, posso solo dire BRAVI!!! continuate  così."
50,18 luglio 2019,valerio1980,"Come andare a trovare la nonna a pranzo, primi fatti a mano, con condimenti freschi e prezzi nella norma e sopratutto rapportati alla qualità della materia prima...tiramisù degno di lode...insomma una bell'idea"
50,20 novembre 2019,jaded_dreams_on,"Ottima pizzeria a taglio, moltissimi tipi tra cui scegliere. Spesso c'è fila, bisogna prendere il numeretto e avere pazienza. Buona, non c'è che dire. Prezzi nella media di Roma, quindi un pochino alti."
40,11 settembre 2019,jakarandablu,Veramente una pizza molto buona. Personale sorridente e veloce. La pizza con i fiori di zucca veramente speciale. Peccato la difficoltà di gustarla in poco spazio.
40,5 settembre 2019,massimiliano s,"Sono stato in questa pizzeria e posso dire che la pizza è veramente ottima e hanno un buon assortimento, la consiglio."
